Name                                    Seq_ID                        Type           Subject_ID          Organism                                E-value   Identity  Align_len 
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Acanthogammarus_godlewskii_T285         _R_TRINITY_DN65_c0_g2_i1      Best_Identity  JN393755.1          Acanthogammarus cf. maculosus MED-2011 h0.0e+00   99.66%    585       
Acanthogammarus_godlewskii_T285         _R_TRINITY_DN65_c0_g2_i1      Best_Evalue    KX341962.1          Acanthogammarus victorii mitochondrion  0.0e+00   81.51%    1536      
Asprogammarus_rhodophthalmus_T285       _R_TRINITY_DN91_c0_g1_i15     Best_Identity  FJ756299.1          Asprogammarus seidlitzii voucher ASEI1 c0.0e+00   89.36%    592       
Asprogammarus_rhodophthalmus_T285       _R_TRINITY_DN91_c0_g1_i15     Best_Evalue    FJ756299.1          Asprogammarus seidlitzii voucher ASEI1 c0.0e+00   89.36%    592       
Baikalogammarus_pullus_T285             TRINITY_DN4772_c0_g1_i4       Best_Identity  BK059231.1          TPA_asm: Baikalogammarus pullus isolate 0.0e+00   100.0%    1534      
Baikalogammarus_pullus_T285             TRINITY_DN4772_c0_g1_i4       Best_Evalue    BK059231.1          TPA_asm: Baikalogammarus pullus isolate 0.0e+00   100.0%    1534      
Boeckaxelia_carpenterii_T285            _R_TRINITY_DN276_c0_g2_i1     Best_Identity  AY926661.1          Eulimnogammarus cruentus cytochrome oxid2.0e-119  83.91%    466       
Boeckaxelia_carpenterii_T285            _R_TRINITY_DN276_c0_g2_i1     Best_Evalue    OM828521.1          Gammarus lacustris voucher IZCASIA1347 c0.0e+00   78.9%     1242      
Boeckaxelia_potanini_T285               _R_TRINITY_DN477_c0_g1_i1     Best_Identity  JN393846.1          Brachyuropus grewingkii cytochrome oxida2.0e-169  85.59%    583       
Boeckaxelia_potanini_T285               _R_TRINITY_DN477_c0_g1_i1     Best_Evalue    NC_026309.1         Brachyuropus grewingkii mitochondrion, c0.0e+00   83.17%    1533      
Brachyuropus_grewingkii_T285            _R_TRINITY_DN1052_c0_g1_i3    Best_Identity  FJ756300.1          Brachyuropus grewingkii voucher BGRE14 c0.0e+00   100.0%    627       
Brachyuropus_grewingkii_T285            _R_TRINITY_DN1052_c0_g1_i3    Best_Evalue    NC_026309.1         Brachyuropus grewingkii mitochondrion, c0.0e+00   99.74%    1534      
Brandtia_latissima_T285                 _R_TRINITY_DN94_c0_g2_i4      Best_Identity  FJ756302.1          Brandtia latissima lata voucher BLATA66 0.0e+00   95.85%    626       
